Freq [Hz]       dBSPL           Phase [Deg]
10519.79        110.22          -2871.12
10841.50        110.70          -2924.88
11173.05        111.44          -2980.21
11514.73        111.77          -3039.01
11866.87        112.01          -3098.30
12229.77        112.29          -3159.27
12603.78        112.69          -3221.49
12989.22        113.21          -3291.49
13386.44        113.71          -3363.68
13795.82        114.39          -3439.08
14217.71        114.78          -3517.08
14652.51        115.38          -3599.16
15100.61        115.69          -3687.46
15562.40        115.92          -3780.11
16038.32        116.01          -3882.84
16528.79        115.72          -3993.94
17034.27        115.03          -4111.42
17555.20        113.99          -4234.17
18092.06        112.61          -4368.01
18645.34        110.74          -4534.56
19215.54        108.74          -4857.82
19803.18        105.01          -5453.19
20408.78        98.92           -5703.31
21032.91        93.06           -5921.53
21676.13        88.42           -6203.65
